problem,law,section,solution,solution_based_on_law,risk_category,applicable_conditions,expected_answer
"A 16-year-old in my family signed an agreement to work for a shopkeeper for Rs. 2,300, and now the shopkeeper is trying to enforce it. I already tried contacting them but got no response.","Indian Contract Act, 1872",Section 10 and Section 11,"Explain that an agreement entered into by a minor is void from the outset and generally not enforceable against them, and consider seeking legal advice or approaching the appropriate forum if the other party continues to pressure the minor or family.","A person who has not attained the age of majority is not competent to contract, and any agreement entered into by a minor is void ab initio and cannot be enforced against them.",Contract,"The age of the person at the time of entering the agreement must be established, and the nature of the transaction (loan, service, sale) may affect which specific remedy is appropriate.","Under the Indian Contract Act, 1872 (Section 10 and Section 11), a minor is not competent to contract, and any such agreement is void from the beginning. It generally cannot be enforced against the minor. It would help to document the minor's age (birth certificate) and seek legal advice if the other party continues to pressure for enforcement."
A shop in Mumbai charged me more than the printed MRP for a car battery and refused to give a proper bill.,"Consumer Protection Act, 2019",Section 2(47) read with Section 2(6); Section 2(6) and Section 35,"Collect the bill or screenshots showing the price difference or false claim, and file a complaint with the Consumer Commission or the Central Consumer Protection Authority against the unfair trade practice.","Charging above the displayed or fixed price, or making false claims about goods, falls within the Act's definition of unfair trade practice, for which a consumer can seek redress.",Consumer,"The overcharging or false representation must be demonstrable through bills, advertisements, or screenshots, and the complainant must have actually purchased or agreed to purchase the goods or services.","This is covered under the Consumer Protection Act, 2019 (Section 2(47) read with Section 2(6)), which addresses unfair trade practices such as overcharging or false claims. Keep the bill and any advertisement as evidence, and you may file a complaint with the Consumer Commission or the Central Consumer Protection Authority."
An e-commerce seller cancelled my order for a television after taking payment and is not processing the refund even after three months back. I have a few messages as proof but nothing else.,"Consumer Protection Act, 2019 and Consumer Protection (E-Commerce) Rules, 2020 and Consumer Protection Act, 2019","Section 94 (Central Consumer Protection Authority) read with the E-Commerce Rules, 2020; Section 2(11) read with Section 35","Raise the issue through the platform's grievance mechanism first, and if unresolved within the stipulated time, escalate the complaint to the Consumer Commission or the National Consumer Helpline.","E-commerce entities are required to acknowledge and address consumer grievances within specified timelines, and failure to do so, along with taking payment without delivering the promised goods, amounts to a deficiency for which redress is available.",Consumer,"Proof of the order, payment confirmation, and any communication with the platform's customer support are needed to establish the timeline and the deficiency.","This is governed by the Consumer Protection Act, 2019 and Consumer Protection (E-Commerce) Rules, 2020 (Section 94 (Central Consumer Protection Authority) read with the E-Commerce Rules, 2020). Raise a grievance with the platform first; if unresolved, you can approach the Consumer Commission or the National Consumer Helpline (1915) for a refund or compensation. Preserve your order and payment records."
"I lent Rs. 18,900 to a contractor on a verbal promise of repayment, and they are now refusing to return it. I don't want to go to court if it can be avoided.","Indian Contract Act, 1872 and Applicable law cannot be determined from the facts provided",Section 73; Not applicable until further facts are known,"Send a written demand for repayment referencing whatever proof exists (messages, bank transfer records, witnesses), and if unresolved, consider filing a civil recovery suit; if there was clear dishonest intent from the start, a criminal complaint for cheating may also be considered.","A verbal agreement to repay money can still be enforceable as a contract if its existence and terms can be proved, and non-repayment can be treated as a breach entitling the lender to claim the amount along with any provable loss.",Civil dispute,"Since there is no written agreement, evidence such as bank transfer records, messages acknowledging the loan, or witnesses is crucial; whether this is a purely civil dispute or also involves an element of cheating depends on the other party's intent at the time the money was taken.","This is primarily a civil recovery matter under the Indian Contract Act, 1872 (Section 73), since even a verbal loan agreement can be enforced if proven. Gather any bank transfer records, messages, or witnesses, send a written repayment demand, and consider a civil recovery suit if unresolved. If there is evidence the other party never intended to repay from the start, a criminal cheating complaint may also be worth exploring — please share more details on that intent if relevant."
I was suddenly terminated from my job in Ahmedabad without any notice or compensation. This has been really stressful for me and my family.,"Industrial Disputes Act, 1947",Section 25F,"Send a written representation to the employer citing the requirement of notice and retrenchment compensation, and if unresolved, raise an industrial dispute before the Labour Commissioner or appropriate Labour Court.","An employer retrenching a workman who has been in continuous service for a specified period is generally required to give notice (or pay in lieu) and retrenchment compensation, subject to conditions under the Act.",Employment,"Details of length of service, the nature of employment (workman status), and whether any notice or compensation was given are needed to determine applicability.","This concerns Industrial Disputes Act, 1947 (Section 25F), which requires notice and compensation before retrenchment for qualifying employees. Send a written representation to your employer, and if unresolved, you can raise the matter before the Labour Commissioner or Labour Court. Keep your appointment letter, service records, and termination communication safe."
I had a dispute with a co-worker and I'm not sure if I have any legal case. I already tried contacting them but got no response.,Applicable law cannot be determined from the facts provided,Not applicable until further facts are known,"Share more specific facts, such as whether there was a written agreement, the nature of the relationship with the other party, and what exactly happened, so the applicable law can be identified accurately.","Indian law offers different remedies depending on the exact nature of a dispute (contractual, criminal, consumer, family, etc.), so a precise answer requires more facts about the relationship, any agreement, and the specific conduct involved.",Insufficient information,"Key missing details include: whether there is a written contract, the nature of the relationship between the parties, the amount and purpose of the money involved, and any prior communication or notices exchanged.","There isn't enough information here to point to a specific law and section. To identify the correct legal provision, please share: (1) whether there was a written or verbal agreement, (2) your relationship with the other party, (3) how the money or dispute arose, and (4) any communication or notices already exchanged. Once these facts are known, the applicable law (contract, consumer, criminal, or civil) can be identified."
"My son, who is a minor, was made to sign a loan agreement for Rs. 1,10,000, and the lender is now demanding repayment. I'm worried this might happen again.","Indian Contract Act, 1872",Section 10 and Section 11,"Explain that an agreement entered into by a minor is void from the outset and generally not enforceable against them, and consider seeking legal advice or approaching the appropriate forum if the other party continues to pressure the minor or family.","A person who has not attained the age of majority is not competent to contract, and any agreement entered into by a minor is void ab initio and cannot be enforced against them.",Contract,"The age of the person at the time of entering the agreement must be established, and the nature of the transaction (loan, service, sale) may affect which specific remedy is appropriate.","Under the Indian Contract Act, 1872 (Section 10 and Section 11), a minor is not competent to contract, and any such agreement is void from the beginning. It generally cannot be enforced against the minor. It would help to document the minor's age (birth certificate) and seek legal advice if the other party continues to pressure for enforcement."
"I was dishonestly induced to hand over Rs. 15,000 based on false promises that were never fulfilled. My family is asking me to just let it go, but I don't want to.","Bharatiya Nyaya Sanhita, 2023",Section 318,"File an FIR at the local police station or the economic offences wing, and preserve all evidence of the promises made and payments transferred (messages, receipts, bank transfers).","Deceiving a person and thereby dishonestly inducing them to deliver property or money, causing them loss, constitutes the offence of cheating.",Criminal,"Evidence of the representations made, proof of payment, and the fact that the promise was never honoured are needed to establish cheating.","This appears to be cheating under the Bharatiya Nyaya Sanhita, 2023 (Section 318). File an FIR with the local police or the economic offences wing, and preserve all messages, receipts, and bank transfer records as evidence of the false promise and resulting loss."
"I was sold a gas geyser based on a false claim about its features, which turned out to be untrue. I want to know my rights in this situation.","Consumer Protection Act, 2019",Section 2(47) read with Section 2(6); Section 2(6) and Section 35,"Collect the bill or screenshots showing the price difference or false claim, and file a complaint with the Consumer Commission or the Central Consumer Protection Authority against the unfair trade practice.","Charging above the displayed or fixed price, or making false claims about goods, falls within the Act's definition of unfair trade practice, for which a consumer can seek redress.",Consumer,"The overcharging or false representation must be demonstrable through bills, advertisements, or screenshots, and the complainant must have actually purchased or agreed to purchase the goods or services.","This is covered under the Consumer Protection Act, 2019 (Section 2(47) read with Section 2(6)), which addresses unfair trade practices such as overcharging or false claims. Keep the bill and any advertisement as evidence, and you may file a complaint with the Consumer Commission or the Central Consumer Protection Authority."
"I lent Rs. 18,900 to a wife on a verbal promise of repayment, and they are now refusing to return it. I want to know my rights in this situation.","Indian Contract Act, 1872 and Applicable law cannot be determined from the facts provided",Section 73; Not applicable until further facts are known,"Send a written demand for repayment referencing whatever proof exists (messages, bank transfer records, witnesses), and if unresolved, consider filing a civil recovery suit; if there was clear dishonest intent from the start, a criminal complaint for cheating may also be considered.","A verbal agreement to repay money can still be enforceable as a contract if its existence and terms can be proved, and non-repayment can be treated as a breach entitling the lender to claim the amount along with any provable loss.",Civil dispute,"Since there is no written agreement, evidence such as bank transfer records, messages acknowledging the loan, or witnesses is crucial; whether this is a purely civil dispute or also involves an element of cheating depends on the other party's intent at the time the money was taken.","This is primarily a civil recovery matter under the Indian Contract Act, 1872 (Section 73), since even a verbal loan agreement can be enforced if proven. Gather any bank transfer records, messages, or witnesses, send a written repayment demand, and consider a civil recovery suit if unresolved. If there is evidence the other party never intended to repay from the start, a criminal cheating complaint may also be worth exploring — please share more details on that intent if relevant."
My employer has been threatening to harm me if I do not comply with their demands. I already tried contacting them but got no response.,"Bharatiya Nyaya Sanhita, 2023",Chapter XIX provisions on criminal intimidation (exact clause to be confirmed against the Act text),"File a police complaint or FIR describing the threats, and preserve any messages, recordings, or witnesses as evidence; a protection order may also be sought where relevant.","Threatening a person with injury to their person, reputation, or property, with intent to cause alarm or to compel them to act against their will, constitutes criminal intimidation.",Criminal,"The exact wording of the threat, its context, and whether it was intended to cause alarm or compel a specific act are needed, and the precise clause should be confirmed against the Act text.","This may amount to criminal intimidation under Bharatiya Nyaya Sanhita, 2023 (Chapter XIX provisions on criminal intimidation (exact clause to be confirmed against the Act text)). File a police complaint describing the threats and preserve any messages, call recordings, or witness statements. If the threats come from a family member, you may also explore remedies under domestic violence law depending on the relationship."
My neighbour in Ranchi keeps entering my property without permission and refuses to stop despite repeated warnings. This happened for the first time recently.,"Bharatiya Nyaya Sanhita, 2023",Chapter XVII provisions on criminal trespass (exact clause to be confirmed against the Act text),"Send a written warning asserting your ownership/possession and demanding that the person cease entering the property, and if this continues, file a police complaint and consider a civil suit for injunction and possession.","Unauthorised entry onto another person's property with intent to commit an offence, or to intimidate, insult or annoy, is treated as an offence against property, in addition to any civil remedies available to the rightful owner or possessor for protecting their possession.",Property,"Proof of ownership or lawful possession (title deed, tax receipts, possession records), and evidence of the unauthorised entry (witnesses, photos, prior complaints) are needed; the exact clause under the new criminal code should be confirmed against the Act text.","This may involve Bharatiya Nyaya Sanhita, 2023 (Chapter XVII provisions on criminal trespass (exact clause to be confirmed against the Act text)) for the criminal aspect, along with a civil remedy for protecting your possession. You can file a police complaint and also consult a lawyer about a civil suit for injunction. Keep your ownership documents and any evidence of the trespass ready."
A shop in Lucknow charged me more than the printed MRP for a car battery and refused to give a proper bill. I'm worried this might happen again.,"Consumer Protection Act, 2019",Section 2(47) read with Section 2(6); Section 2(6) and Section 35,"Collect the bill or screenshots showing the price difference or false claim, and file a complaint with the Consumer Commission or the Central Consumer Protection Authority against the unfair trade practice.","Charging above the displayed or fixed price, or making false claims about goods, falls within the Act's definition of unfair trade practice, for which a consumer can seek redress.",Consumer,"The overcharging or false representation must be demonstrable through bills, advertisements, or screenshots, and the complainant must have actually purchased or agreed to purchase the goods or services.","This is covered under the Consumer Protection Act, 2019 (Section 2(47) read with Section 2(6)), which addresses unfair trade practices such as overcharging or false claims. Keep the bill and any advertisement as evidence, and you may file a complaint with the Consumer Commission or the Central Consumer Protection Authority."
I had a dispute with a contractor and I'm not sure if I have any legal case. I have a few messages as proof but nothing else.,Applicable law cannot be determined from the facts provided,Not applicable until further facts are known,"Share more specific facts, such as whether there was a written agreement, the nature of the relationship with the other party, and what exactly happened, so the applicable law can be identified accurately.","Indian law offers different remedies depending on the exact nature of a dispute (contractual, criminal, consumer, family, etc.), so a precise answer requires more facts about the relationship, any agreement, and the specific conduct involved.",Insufficient information,"Key missing details include: whether there is a written contract, the nature of the relationship between the parties, the amount and purpose of the money involved, and any prior communication or notices exchanged.","There isn't enough information here to point to a specific law and section. To identify the correct legal provision, please share: (1) whether there was a written or verbal agreement, (2) your relationship with the other party, (3) how the money or dispute arose, and (4) any communication or notices already exchanged. Once these facts are known, the applicable law (contract, consumer, criminal, or civil) can be identified."
An e-commerce seller cancelled my order for a printer after taking payment and is not processing the refund even after three months back. I don't want to go to court if it can be avoided.,"Consumer Protection Act, 2019 and Consumer Protection (E-Commerce) Rules, 2020 and Consumer Protection Act, 2019","Section 94 (Central Consumer Protection Authority) read with the E-Commerce Rules, 2020; Section 2(11) read with Section 35","Raise the issue through the platform's grievance mechanism first, and if unresolved within the stipulated time, escalate the complaint to the Consumer Commission or the National Consumer Helpline.","E-commerce entities are required to acknowledge and address consumer grievances within specified timelines, and failure to do so, along with taking payment without delivering the promised goods, amounts to a deficiency for which redress is available.",Consumer,"Proof of the order, payment confirmation, and any communication with the platform's customer support are needed to establish the timeline and the deficiency.","This is governed by the Consumer Protection Act, 2019 and Consumer Protection (E-Commerce) Rules, 2020 (Section 94 (Central Consumer Protection Authority) read with the E-Commerce Rules, 2020). Raise a grievance with the platform first; if unresolved, you can approach the Consumer Commission or the National Consumer Helpline (1915) for a refund or compensation. Preserve your order and payment records."
I applied for information from a government department in Mumbai but have not received a response even after last year. I have all the receipts and messages saved.,"Right to Information Act, 2005",Section 6; Section 19,"File a first appeal with the appellate authority of the department if the response is delayed beyond 30 days or is unsatisfactory, and if still unresolved, file a second appeal with the State or Central Information Commission.","Every citizen has the right to request information from public authorities, which are generally required to respond within 30 days, and a structured appeal mechanism exists for delayed or refused responses.",Constitutional,Proof of the original RTI application (with date and acknowledgment) is needed to calculate the response deadline and file a timely appeal.,"Under the Right to Information Act, 2005 (Section 6 for filing a request; Section 19 for appeals), public authorities must generally respond within 30 days. Since the deadline has passed, you can file a first appeal with the department's appellate authority, and a second appeal with the Information Commission if needed. Keep your original application and any acknowledgment safe."
An e-commerce seller cancelled my order for a printer after taking payment and is not processing the refund even after about six months ago. This has been really stressful for me and my family.,"Consumer Protection Act, 2019 and Consumer Protection (E-Commerce) Rules, 2020 and Consumer Protection Act, 2019","Section 94 (Central Consumer Protection Authority) read with the E-Commerce Rules, 2020; Section 2(11) read with Section 35","Raise the issue through the platform's grievance mechanism first, and if unresolved within the stipulated time, escalate the complaint to the Consumer Commission or the National Consumer Helpline.","E-commerce entities are required to acknowledge and address consumer grievances within specified timelines, and failure to do so, along with taking payment without delivering the promised goods, amounts to a deficiency for which redress is available.",Consumer,"Proof of the order, payment confirmation, and any communication with the platform's customer support are needed to establish the timeline and the deficiency.","This is governed by the Consumer Protection Act, 2019 and Consumer Protection (E-Commerce) Rules, 2020 (Section 94 (Central Consumer Protection Authority) read with the E-Commerce Rules, 2020). Raise a grievance with the platform first; if unresolved, you can approach the Consumer Commission or the National Consumer Helpline (1915) for a refund or compensation. Preserve your order and payment records."
"A vendor promised to supply materials for Rs. 2,300 by a fixed date, but has neither delivered nor refunded the money. I have a few messages as proof but nothing else.","Indian Contract Act, 1872",Section 37; Section 73,"Issue a written demand for performance of the contract or, alternatively, refund with compensation, and pursue legal remedies if the vendor continues to default.","Parties to a contract are bound to perform their respective promises, and where a party fails to do so, the aggrieved party may seek performance or compensation for the resulting loss.",Contract,"A valid contract must exist between the parties, payment or consideration must have been given, and non-performance must be established.","Under the Indian Contract Act, 1872 (Section 37) and Indian Contract Act, 1872 (Section 73), parties are obligated to perform their contractual promises. You can send a written demand for delivery or refund with compensation, and pursue a civil suit if the vendor continues to default. Keep the order confirmation and payment records."
I was suddenly terminated from my job in Ahmedabad without any notice or compensation. I don't want to go to court if it can be avoided.,"Industrial Disputes Act, 1947",Section 25F,"Send a written representation to the employer citing the requirement of notice and retrenchment compensation, and if unresolved, raise an industrial dispute before the Labour Commissioner or appropriate Labour Court.","An employer retrenching a workman who has been in continuous service for a specified period is generally required to give notice (or pay in lieu) and retrenchment compensation, subject to conditions under the Act.",Employment,"Details of length of service, the nature of employment (workman status), and whether any notice or compensation was given are needed to determine applicability.","This concerns Industrial Disputes Act, 1947 (Section 25F), which requires notice and compensation before retrenchment for qualifying employees. Send a written representation to your employer, and if unresolved, you can raise the matter before the Labour Commissioner or Labour Court. Keep your appointment letter, service records, and termination communication safe."
"I paid a contractor Rs. 5,20,000 in advance for interior design work, but the work was left incomplete and they stopped responding. I already tried contacting them but got no response.","Indian Contract Act, 1872",Section 73,"Send a formal written notice referring to the agreed terms and demanding either completion of the work or a refund with compensation for loss caused by the delay, and pursue a civil claim if the notice is ignored.","Where one party fails to perform an agreed obligation, the other party who suffers loss as a natural consequence of that breach is entitled to claim compensation, provided the loss is capable of being reasonably established.",Contract,"There must be a valid, enforceable contract (written or oral, with clear terms), a demonstrable breach, and a quantifiable loss flowing from that breach.","This is a breach of contract matter under the Indian Contract Act, 1872 (Section 73). Since the other party failed to perform as agreed, you can send a written notice demanding completion or refund, and claim compensation for the loss caused. If unresolved, this can be pursued as a civil claim. Keep the agreement, payment proof, and communication as evidence."
"I bought a smartwatch for Rs. 850 and it stopped working within a week, but the shop is refusing to replace it or give a refund.","Consumer Protection Act, 2019",Section 2(10) read with Section 35; Section 2(6) and Section 35,"File a written complaint with the seller first, and if unresolved, approach the appropriate Consumer Commission (District, State, or National, depending on the value of the claim) for a refund, replacement, or compensation.","The product is a 'defect' as understood under the Act's definitions, and a person who buys goods for consideration and suffers from such a defect can lodge a consumer complaint seeking an appropriate remedy.",Consumer,"The buyer must qualify as a 'consumer' under the Act (goods bought for consideration, not for resale), the defect must be established, and the complaint should ideally be filed within the limitation period, generally two years from when the cause of action arose.","This is a consumer protection matter under the Consumer Protection Act, 2019 (Section 2(10) read with Section 35). Since the product has a defect, you can first send a written complaint to the seller/manufacturer, and if not resolved, file a case before the Consumer Commission for a refund, replacement, or compensation. Keep your purchase receipt, warranty card, and any correspondence as evidence."
"I hired someone for broadband internet and paid Rs. 12,000 upfront, but they never showed up to finish the job. This happened for the first time recently.","Indian Contract Act, 1872",Section 73,"Send a formal written notice referring to the agreed terms and demanding either completion of the work or a refund with compensation for loss caused by the delay, and pursue a civil claim if the notice is ignored.","Where one party fails to perform an agreed obligation, the other party who suffers loss as a natural consequence of that breach is entitled to claim compensation, provided the loss is capable of being reasonably established.",Contract,"There must be a valid, enforceable contract (written or oral, with clear terms), a demonstrable breach, and a quantifiable loss flowing from that breach.","This is a breach of contract matter under the Indian Contract Act, 1872 (Section 73). Since the other party failed to perform as agreed, you can send a written notice demanding completion or refund, and claim compensation for the loss caused. If unresolved, this can be pursued as a civil claim. Keep the agreement, payment proof, and communication as evidence."
"I received a message from someone pretending to be a bank official, and after following their instructions, Rs. 4,500 was deducted from my account. I'm not sure what steps to take next.","Information Technology Act, 2000 and Applicable law cannot be determined from the facts provided",Section 66D; Not applicable until further facts are known,"Contact your bank immediately to block further transactions and request a chargeback where possible, preserve the messages/call records and transaction details, and file a complaint on the National Cyber Crime Reporting Portal or the 1930 helpline.","Cheating a person by pretending to be someone else (such as a bank official) using electronic communication in order to induce them to part with money is an offence, and the exact provisions applicable also depend on how the deception and transaction occurred.",Cybercrime,"The exact offence and applicable sections depend on details such as how the OTP or information was obtained, the payment method used, and whether any malware or phishing link was involved, so these facts are needed for a precise answer.","This likely involves the Information Technology Act, 2000 (Section 66D), since you were deceived through electronic communication into losing money. Contact your bank immediately, note down the caller's number and messages, and report the incident at cybercrime.gov.in or call 1930. The exact combination of sections will depend on further facts about how the fraud was carried out."
My business partner threw me out of the house and is refusing to give me any money for daily expenses. I'm not sure what steps to take next.,"Protection of Women from Domestic Violence Act, 2005",Section 20; Section 19,"File an application before the Magistrate seeking a residence order (to stay in the shared household) and a monetary relief order (for maintenance and expenses), with the help of a Protection Officer or lawyer.","The Act allows a woman facing domestic violence to seek a residence order protecting her right to live in the shared household, and a monetary relief order covering loss of earnings, medical expenses, and maintenance.",Family and domestic violence,"Proof of the shared household relationship, details of income and expenses, and evidence of being denied residence or support are needed.","Under the Protection of Women from Domestic Violence Act, 2005 (Section 19 for residence orders and Section 20 for monetary relief), you can apply to the Magistrate for both a residence order and financial support. A Protection Officer can help you file this application; you may also contact the women's helpline 181."
"I hired someone for interior design work and paid Rs. 4,500 upfront, but they never showed up to finish the job. This has been really stressful for me and my family.","Indian Contract Act, 1872",Section 73,"Send a formal written notice referring to the agreed terms and demanding either completion of the work or a refund with compensation for loss caused by the delay, and pursue a civil claim if the notice is ignored.","Where one party fails to perform an agreed obligation, the other party who suffers loss as a natural consequence of that breach is entitled to claim compensation, provided the loss is capable of being reasonably established.",Contract,"There must be a valid, enforceable contract (written or oral, with clear terms), a demonstrable breach, and a quantifiable loss flowing from that breach.","This is a breach of contract matter under the Indian Contract Act, 1872 (Section 73). Since the other party failed to perform as agreed, you can send a written notice demanding completion or refund, and claim compensation for the loss caused. If unresolved, this can be pursued as a civil claim. Keep the agreement, payment proof, and communication as evidence."
"I received a message from someone pretending to be a bank official, and after following their instructions, Rs. 12,000 was deducted from my account. My family is asking me to just let it go, but I don't want to.","Information Technology Act, 2000 and Applicable law cannot be determined from the facts provided",Section 66D; Not applicable until further facts are known,"Contact your bank immediately to block further transactions and request a chargeback where possible, preserve the messages/call records and transaction details, and file a complaint on the National Cyber Crime Reporting Portal or the 1930 helpline.","Cheating a person by pretending to be someone else (such as a bank official) using electronic communication in order to induce them to part with money is an offence, and the exact provisions applicable also depend on how the deception and transaction occurred.",Cybercrime,"The exact offence and applicable sections depend on details such as how the OTP or information was obtained, the payment method used, and whether any malware or phishing link was involved, so these facts are needed for a precise answer.","This likely involves the Information Technology Act, 2000 (Section 66D), since you were deceived through electronic communication into losing money. Contact your bank immediately, note down the caller's number and messages, and report the incident at cybercrime.gov.in or call 1930. The exact combination of sections will depend on further facts about how the fraud was carried out."
"I lent Rs. 4,500 to a wife on a verbal promise of repayment, and they are now refusing to return it. This has been really stressful for me and my family.","Indian Contract Act, 1872 and Applicable law cannot be determined from the facts provided",Section 73; Not applicable until further facts are known,"Send a written demand for repayment referencing whatever proof exists (messages, bank transfer records, witnesses), and if unresolved, consider filing a civil recovery suit; if there was clear dishonest intent from the start, a criminal complaint for cheating may also be considered.","A verbal agreement to repay money can still be enforceable as a contract if its existence and terms can be proved, and non-repayment can be treated as a breach entitling the lender to claim the amount along with any provable loss.",Civil dispute,"Since there is no written agreement, evidence such as bank transfer records, messages acknowledging the loan, or witnesses is crucial; whether this is a purely civil dispute or also involves an element of cheating depends on the other party's intent at the time the money was taken.","This is primarily a civil recovery matter under the Indian Contract Act, 1872 (Section 73), since even a verbal loan agreement can be enforced if proven. Gather any bank transfer records, messages, or witnesses, send a written repayment demand, and consider a civil recovery suit if unresolved. If there is evidence the other party never intended to repay from the start, a criminal cheating complaint may also be worth exploring — please share more details on that intent if relevant."
"My son, who is a minor, was made to sign a loan agreement for Rs. 7,750, and the lender is now demanding repayment. I have a few messages as proof but nothing else.","Indian Contract Act, 1872",Section 10 and Section 11,"Explain that an agreement entered into by a minor is void from the outset and generally not enforceable against them, and consider seeking legal advice or approaching the appropriate forum if the other party continues to pressure the minor or family.","A person who has not attained the age of majority is not competent to contract, and any agreement entered into by a minor is void ab initio and cannot be enforced against them.",Contract,"The age of the person at the time of entering the agreement must be established, and the nature of the transaction (loan, service, sale) may affect which specific remedy is appropriate.","Under the Indian Contract Act, 1872 (Section 10 and Section 11), a minor is not competent to contract, and any such agreement is void from the beginning. It generally cannot be enforced against the minor. It would help to document the minor's age (birth certificate) and seek legal advice if the other party continues to pressure for enforcement."
I applied for information from a government department in Kolkata but have not received a response even after two weeks ago. I have all the receipts and messages saved.,"Right to Information Act, 2005",Section 6; Section 19,"File a first appeal with the appellate authority of the department if the response is delayed beyond 30 days or is unsatisfactory, and if still unresolved, file a second appeal with the State or Central Information Commission.","Every citizen has the right to request information from public authorities, which are generally required to respond within 30 days, and a structured appeal mechanism exists for delayed or refused responses.",Constitutional,Proof of the original RTI application (with date and acknowledgment) is needed to calculate the response deadline and file a timely appeal.,"Under the Right to Information Act, 2005 (Section 6 for filing a request; Section 19 for appeals), public authorities must generally respond within 30 days. Since the deadline has passed, you can file a first appeal with the department's appellate authority, and a second appeal with the Information Commission if needed. Keep your original application and any acknowledgment safe."
"A vendor promised to supply materials for Rs. 1,10,000 by a fixed date, but has neither delivered nor refunded the money. I have a few messages as proof but nothing else.","Indian Contract Act, 1872",Section 37; Section 73,"Issue a written demand for performance of the contract or, alternatively, refund with compensation, and pursue legal remedies if the vendor continues to default.","Parties to a contract are bound to perform their respective promises, and where a party fails to do so, the aggrieved party may seek performance or compensation for the resulting loss.",Contract,"A valid contract must exist between the parties, payment or consideration must have been given, and non-performance must be established.","Under the Indian Contract Act, 1872 (Section 37) and Indian Contract Act, 1872 (Section 73), parties are obligated to perform their contractual promises. You can send a written demand for delivery or refund with compensation, and pursue a civil suit if the vendor continues to default. Keep the order confirmation and payment records."
"A vehicle hit me and sped away without stopping in Jaipur, and I don't know who was driving. I already tried contacting them but got no response.","Motor Vehicles Act, 1988",Section 161,"File a police complaint immediately (needed to access the hit-and-run compensation scheme), obtain medical records, and apply for compensation from the Solatium Fund/relevant scheme through the police or insurer.","Where the vehicle or driver responsible for an accident cannot be traced, a victim or their legal heirs can still claim compensation from a dedicated compensation fund, subject to filing the required police report and documents.",Traffic,"A prompt FIR, medical treatment records, and any witness information about the vehicle are needed to process the claim.","This falls under Motor Vehicles Act, 1988 (Section 161), which provides for compensation even when the vehicle cannot be traced. File a police complaint immediately, get medical treatment documented, and apply for compensation from the applicable compensation fund with police assistance."
"I lent Rs. 60,000 to a wife on a verbal promise of repayment, and they are now refusing to return it. I have a few messages as proof but nothing else.","Indian Contract Act, 1872 and Applicable law cannot be determined from the facts provided",Section 73; Not applicable until further facts are known,"Send a written demand for repayment referencing whatever proof exists (messages, bank transfer records, witnesses), and if unresolved, consider filing a civil recovery suit; if there was clear dishonest intent from the start, a criminal complaint for cheating may also be considered.","A verbal agreement to repay money can still be enforceable as a contract if its existence and terms can be proved, and non-repayment can be treated as a breach entitling the lender to claim the amount along with any provable loss.",Civil dispute,"Since there is no written agreement, evidence such as bank transfer records, messages acknowledging the loan, or witnesses is crucial; whether this is a purely civil dispute or also involves an element of cheating depends on the other party's intent at the time the money was taken.","This is primarily a civil recovery matter under the Indian Contract Act, 1872 (Section 73), since even a verbal loan agreement can be enforced if proven. Gather any bank transfer records, messages, or witnesses, send a written repayment demand, and consider a civil recovery suit if unresolved. If there is evidence the other party never intended to repay from the start, a criminal cheating complaint may also be worth exploring — please share more details on that intent if relevant."
An e-commerce seller cancelled my order for a mobile phone after taking payment and is not processing the refund even after three months back. I've never dealt with anything like this before.,"Consumer Protection Act, 2019 and Consumer Protection (E-Commerce) Rules, 2020 and Consumer Protection Act, 2019","Section 94 (Central Consumer Protection Authority) read with the E-Commerce Rules, 2020; Section 2(11) read with Section 35","Raise the issue through the platform's grievance mechanism first, and if unresolved within the stipulated time, escalate the complaint to the Consumer Commission or the National Consumer Helpline.","E-commerce entities are required to acknowledge and address consumer grievances within specified timelines, and failure to do so, along with taking payment without delivering the promised goods, amounts to a deficiency for which redress is available.",Consumer,"Proof of the order, payment confirmation, and any communication with the platform's customer support are needed to establish the timeline and the deficiency.","This is governed by the Consumer Protection Act, 2019 and Consumer Protection (E-Commerce) Rules, 2020 (Section 94 (Central Consumer Protection Authority) read with the E-Commerce Rules, 2020). Raise a grievance with the platform first; if unresolved, you can approach the Consumer Commission or the National Consumer Helpline (1915) for a refund or compensation. Preserve your order and payment records."
My neighbour in Mumbai keeps entering my property without permission and refuses to stop despite repeated warnings. Please tell me what I can legally do.,"Bharatiya Nyaya Sanhita, 2023",Chapter XVII provisions on criminal trespass (exact clause to be confirmed against the Act text),"Send a written warning asserting your ownership/possession and demanding that the person cease entering the property, and if this continues, file a police complaint and consider a civil suit for injunction and possession.","Unauthorised entry onto another person's property with intent to commit an offence, or to intimidate, insult or annoy, is treated as an offence against property, in addition to any civil remedies available to the rightful owner or possessor for protecting their possession.",Property,"Proof of ownership or lawful possession (title deed, tax receipts, possession records), and evidence of the unauthorised entry (witnesses, photos, prior complaints) are needed; the exact clause under the new criminal code should be confirmed against the Act text.","This may involve Bharatiya Nyaya Sanhita, 2023 (Chapter XVII provisions on criminal trespass (exact clause to be confirmed against the Act text)) for the criminal aspect, along with a civil remedy for protecting your possession. You can file a police complaint and also consult a lawyer about a civil suit for injunction. Keep your ownership documents and any evidence of the trespass ready."
